time,est_speed
1454284800000,4.2155872
1454284800000,4.2155872
1454284800000,4.2155872
1454284800000,4.2155872
1454287500000,4.0278304
1454287500000,4.0278304
1454287500000,4.0278304
1454289000000,2.9638752
1454289000000,2.9638752
1454289000000,2.9638752
1454289000000,2.9638752
1454291700000,2.794
1454291700000,2.794
1454291700000,2.794
1454291700000,2.794
1454291700000,2.794
1454291700000,2.794
1454295600000,3.285744
1454295600000,3.285744
1454295600000,3.285744
1454295600000,3.285744
1454295600000,3.285744
1454295600000,3.285744
1454295600000,3.285744
1454295600000,3.285744
1454295600000,3.285744
1454300700000,6.2093856
1454300700000,6.2093856
1454300700000,6.2093856
1454302200000,2.8431744
1454303400000,7.5862688
1454303400000,7.5862688
1454304300000,3.8356032
1454304900000,3.4064448
1454305500000,4.5911008
1454305500000,4.5911008
1454305500000,4.5911008
1454307000000,2.414016
1454307600000,7.063232
1454308500000,6.839712
1454309100000,5.990336
1454309700000,6.1065664
1454310300000,5.0381408
1454310900000,4.6983904
1454311500000,3.9652448
1454312100000,4.0188896
1454312700000,3.3036256
1454313300000,2.6554176
1454313601000,2.2530816
1454314501000,2.3201376
1454315100000,3.3215072
1454315700000,2.8431744
1454316301000,2.2396704
1454316901000,2.2262592
1454317501000,4.8325024
1454318101000,4.5463968
1454318700000,4.2200576
1454319300000,3.9920672
1454319900000,3.8713664
1454320501000,5.6237632
1454321101000,5.632704
1454321701000,5.8025792
1454322300000,5.6416448
1454322900000,5.766816
1454323500000,4.6223936
1454324106000,5.6416448
1454324701000,4.2334688
1454325301000,5.208016
1454325900000,4.2558208
1454326500000,5.1677824
1454326800000,5.7399936
1454327701000,5.096256
1454328301000,5.565648
1454328901000,5.0649632
1454329503000,5.0694336
1454330101000,3.5673792
1454330700000,5.632704
1454331300000,3.7819584
1454331902000,2.995168
1454332501000,5.3018944
1454333100000,6.2630304
1454333700000,4.6670976
1454334300000,4.3765216
1454334900000,3.9607744
1454335501000,4.2289984
1454336101000,2.9370528
1454336700000,3.553968
1454337300000,4.7699168
1454337900000,4.3720512
1454338500000,5.4181248
1454339101000,4.4391072
1454339701000,4.5732192
1454340302000,4.4972224
1454340900000,4.8325024
1454341500000,5.36448
1454342100000,5.5254144
1454342701000,4.5419264
1454343301000,6.3613792
1454343900000,3.866896
1454344500000,3.2678624
1454345100000,4.7207424
1454345700000,4.090416
1454346001000,3.7819584
1454346901000,3.9652448
1454347500000,3.6746688
1454348100000,4.1842944
1454348700000,4.6134528
1454349300000,4.2647616
1454349901000,4.3184064
1454350501000,5.8741056
1454351100000,4.2781728
1454351700000,3.8534848
1454352300000,6.504432
1454352900000,6.5848992
1454353501000,7.2152256
1454354101000,7.4163936
1454354700000,7.3716896
1454355300000,7.9260192
1454355600000,8.136128
1454356500000,6.0663328
1454357103000,7.063232
1454357700000,6.1602112
1454357700000,6.1602112
1454358900000,7.5370944
1454358900000,7.5370944
1454359800000,8.225536
1454360400000,6.48208
1454360400000,6.48208
1454361600000,2.3871936
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454362500000,5.6505856
1454373300000,8.1182464
1454373300000,8.1182464
1454373300000,8.1182464
1454373300000,8.1182464
1454373300000,8.1182464
1454373300000,8.1182464
1454373300000,8.1182464
1454373300000,8.1182464
1454373300000,8.1182464
1454378404000,5.1990752
1454378404000,5.1990752
1454378404000,5.1990752
1454378404000,5.1990752
1454378404000,5.1990752
1454378404000,5.1990752
1454378404000,5.1990752
1454382600000,4.8325024
1454382600000,4.8325024
1454382600000,4.8325024
1454382600000,4.8325024
1454382600000,4.8325024
1454386800000,6.6921888
1454386800000,6.6921888
1454387400000,4.3407584
1454388300000,5.5343552
1454388900000,7.4342752
1454388900000,7.4342752
1454388900000,7.4342752
1454390700000,3.9160704
1454390700000,3.9160704
1454391900000,6.2004448
1454392500000,4.559808
1454392500000,4.559808
1454393400000,7.9260192
1454394300000,5.3957728
1454394900000,4.5016928
1454395500000,4.4972224
1454396100000,6.0171584
1454396700000,3.4556192
