time,travel_time
1405451363000,120.0
1405451963000,151.0
1405452263000,163.0
1405453163000,111.0
1405453763000,102.0
1405454363000,84.0
1405454963000,87.0
1405455563000,87.0
1405456163000,116.0
1405456763000,85.0
1405457363000,70.0
1405457963000,73.0
1405458563000,97.0
1405459163000,67.0
1405459763000,81.0
1405460363000,73.0
1405460963000,108.0
1405461563000,80.0
1405462163000,83.0
1405462763000,118.0
1405463363000,101.0
1405463964000,65.0
1405464563000,79.0
1405465163000,131.0
1405465763000,148.0
1405466363000,66.0
1405466963000,142.0
1405466963000,142.0
1405468163000,60.0
1405468463000,98.0
1405469363000,81.0
1405469963000,67.0
1405469963000,67.0
1405469963000,67.0
1405471763000,66.0
1405472363000,88.0
1405472363000,88.0
1405473263000,187.0
1405473863000,81.0
1405474763000,70.0
1405474763000,70.0
1405475963000,64.0
1405475963000,64.0
1405476863000,57.0
1405477463000,67.0
1405478363000,69.0
1405478963000,172.0
1405479263000,184.0
1405479863000,67.0
1405479863000,67.0
1405481063000,71.0
1405481063000,71.0
1405481063000,71.0
1405483163000,77.0
1405483163000,77.0
1405484363000,83.0
1405484363000,83.0
1405485263000,56.0
1405485263000,56.0
1405486463000,181.0
1405487363000,74.0
1405487663000,152.0
1405488563000,77.0
1405489164000,104.0
1405489763000,85.0
1405490364000,93.0
1405490964000,107.0
1405491564000,123.0
1405492164000,114.0
1405492764000,136.0
1405493364000,180.0
1405493964000,173.0
1405494564000,572.0
1405495164000,254.0
1405495765000,242.0
1405496366000,152.0
1405496964000,172.0
1405497564000,229.0
1405498164000,181.0
1405498764000,174.0
1405499365000,188.0
1405499965000,106.0
1405500564000,162.0
1405501164000,375.0
1405501764000,175.0
1405502364000,182.0
1405502964000,97.0
1405503565000,152.0
1405504164000,120.0
1405504764000,160.0
1405505364000,87.0
1405505964000,146.0
1405506564000,154.0
1405507165000,227.0
1405507764000,138.0
1405508364000,184.0
1405508964000,212.0
1405509564000,168.0
1405510164000,195.0
1405510765000,127.0
1405511365000,188.0
1405511964000,194.0
1405512564000,175.0
1405513164000,180.0
1405513764000,158.0
1405514365000,313.0
1405514964000,132.0
1405515564000,213.0
1405516165000,152.0
1405516764000,209.0
1405517364000,191.0
1405517965000,186.0
1405518564000,151.0
1405519164000,131.0
1405519764000,215.0
1405520364000,167.0
1405520964000,193.0
1405521565000,153.0
1405522164000,128.0
1405522764000,159.0
1405523364000,163.0
1405523964000,222.0
1405524565000,213.0
1405525165000,179.0
1405525764000,183.0
1405526364000,199.0
1405526964000,148.0
1405527564000,236.0
1405528165000,152.0
1405528765000,200.0
1405529364000,257.0
1405529964000,150.0
1405530564000,175.0
1405531165000,146.0
1405531765000,153.0
1405532365000,179.0
1405532964000,172.0
1405533564000,163.0
1405534164000,89.0
1405534764000,131.0
1405535365000,132.0
1405535965000,75.0
1405536564000,144.0
1405537164000,92.0
1405537764000,120.0
1405538364000,108.0
1405538964000,137.0
1405539564000,103.0
1405540164000,117.0
1405540764000,127.0
1405541364000,98.0
1405541965000,152.0
1405542564000,103.0
1405543164000,79.0
1405543764000,126.0
1405544364000,117.0
1405544964000,150.0
1405545564000,77.0
1405546164000,98.0
1405546764000,91.0
1405547364000,82.0
1405547964000,109.0
1405548564000,73.0
1405549164000,117.0
1405549764000,110.0
1405550364000,137.0
1405550964000,76.0
1405551565000,72.0
1405552164000,88.0
