time,travel_time
1454285400000,615.0
1454285400000,615.0
1454285400000,615.0
1454285400000,615.0
1454285400000,615.0
1454285400000,615.0
1454289000000,492.0
1454289000000,492.0
1454289000000,492.0
1454289000000,492.0
1454289000000,492.0
1454289000000,492.0
1454289000000,492.0
1454293500000,1256.0
1454293500000,1256.0
1454293500000,1256.0
1454295300000,1274.0
1454295300000,1274.0
1454296800000,510.0
1454296800000,510.0
1454298000000,836.0
1454298000000,836.0
1454298900000,413.0
1454299500000,852.0
1454299500000,852.0
1454300700000,446.0
1454300700000,446.0
1454300700000,446.0
1454302500000,444.0
1454303400000,598.0
1454303700000,450.0
1454304300000,573.0
1454304600000,987.0
1454305500000,523.0
1454306100000,567.0
1454306700000,575.0
1454307300000,477.0
1454307900000,442.0
1454308500000,737.0
1454309100000,617.0
1454309100000,617.0
1454310300000,734.0
1454310901000,780.0
1454311500000,1295.0
1454312101000,901.0
1454312101000,901.0
1454313301000,1409.0
1454313301000,1409.0
1454313301000,1409.0
1454313301000,1409.0
1454315401000,915.0
1454316001000,1317.0
1454316902000,1164.0
1454317502000,807.0
1454318103000,791.0
1454318103000,791.0
1454319301000,725.0
1454319601000,755.0
1454320202000,737.0
1454321102000,943.0
1454321702000,818.0
1454322300000,733.0
1454322901000,767.0
1454323501000,720.0
1454323801000,1192.0
1454324702000,700.0
1454325302000,678.0
1454325901000,796.0
1454326500000,1033.0
1454326801000,2099.0
1454327401000,773.0
1454328301000,643.0
1454328301000,643.0
1454329503000,1616.0
1454330102000,859.0
1454330701000,1601.0
1454331001000,675.0
1454331601000,734.0
1454332501000,681.0
1454333100000,699.0
1454333401000,767.0
1454334001000,1100.0
1454334901000,804.0
1454335201000,1277.0
1454336102000,777.0
1454336700000,1779.0
1454337301000,1418.0
1454337901000,789.0
1454338501000,1169.0
1454338801000,880.0
1454339402000,978.0
1454339402000,978.0
1454340900000,1399.0
1454341501000,885.0
1454342101000,1469.0
1454342401000,763.0
1454343302000,1138.0
1454343302000,1138.0
1454344501000,1189.0
1454345101000,2291.0
1454345701000,1281.0
1454346001000,1053.0
1454346902000,1276.0
1454346902000,1276.0
1454348101000,1328.0
1454348701000,1168.0
1454349301000,988.0
1454349601000,1053.0
1454350502000,998.0
1454351100000,1284.0
1454351701000,967.0
1454352301000,918.0
1454352301000,918.0
1454353201000,573.0
1454353802000,688.0
1454354700000,712.0
1454355000000,679.0
1454355600000,641.0
1454356501000,658.0
1454357103000,635.0
1454357103000,635.0
1454358300000,781.0
1454358900000,539.0
1454359200000,578.0
1454359200000,578.0
1454359200000,578.0
1454359200000,578.0
1454361600000,494.0
1454362500000,853.0
1454362800000,551.0
1454363700000,938.0
1454363700000,938.0
1454364900000,510.0
1454365200000,627.0
1454365200000,627.0
1454366700000,400.0
1454367300000,473.0
1454367600000,669.0
1454368500000,550.0
1454368500000,550.0
1454368500000,550.0
1454370000000,564.0
1454370000000,564.0
1454370000000,564.0
1454372100000,483.0
1454372100000,483.0
1454372100000,483.0
1454373600000,529.0
1454374500000,528.0
1454374500000,528.0
1454374500000,528.0
1454374500000,528.0
1454376900000,532.0
1454377800000,881.0
1454377800000,881.0
1454377800000,881.0
1454377800000,881.0
1454377800000,881.0
1454377800000,881.0
1454377800000,881.0
1454377800000,881.0
1454377800000,881.0
1454383800000,454.0
1454383800000,454.0
1454384700000,473.0
1454385300000,463.0
1454385600000,340.0
1454385600000,340.0
1454385600000,340.0
1454385600000,340.0
1454388000000,453.0
1454388000000,453.0
1454389200000,439.0
1454389800000,695.0
1454390400000,551.0
1454390400000,551.0
1454391600000,477.0
1454392500000,526.0
1454393100000,483.0
1454393400000,544.0
1454394000000,990.0
1454394900000,523.0
1454394900000,523.0
1454396100000,675.0
1454396700000,677.0
1454397000000,667.0
1454397000000,667.0
1454398501000,1235.0
1454399103000,1022.0
1454399103000,1022.0
1454400302000,1188.0
1454400302000,1188.0
1454400302000,1188.0
1454402101000,888.0
1454402101000,888.0
1454403302000,957.0
1454403902000,841.0
1454404202000,893.0
1454405100000,874.0
1454405403000,949.0
1454405403000,949.0
1454406601000,1169.0
1454407502000,1539.0
1454407502000,1539.0
1454408700000,1114.0
1454409301000,952.0
1454409901000,879.0
1454410201000,918.0
1454411102000,1174.0
1454411702000,1198.0
1454412000000,1582.0
1454412901000,1165.0
1454413503000,1116.0
1454414102000,844.0
1454414701000,1276.0
1454415302000,1203.0
1454415901000,964.0
1454416500000,1883.0
1454416801000,1119.0
1454417701000,1318.0
1454418301000,887.0
1454418602000,1061.0
1454419200000,1091.0
1454420101000,932.0
1454420701000,999.0
1454421001000,1637.0
1454421001000,1637.0
1454422201000,1384.0
1454422201000,1384.0
1454423700000,918.0
1454424001000,1093.0
1454424901000,851.0
1454425201000,1125.0
1454426102000,1521.0
1454426102000,1521.0
1454427301000,1422.0
1454427901000,1300.0
1454428201000,1697.0
1454429102000,936.0
1454429702000,1006.0
1454430300000,987.0
1454430901000,1139.0
1454431501000,817.0
1454431801000,841.0
1454431801000,841.0
1454433002000,1330.0
1454433600000,1166.0
1454434501000,847.0
1454434801000,1190.0
1454435701000,1029.0
1454436302000,892.0
1454436902000,752.0
1454437500000,904.0
1454437801000,852.0
1454438701000,687.0
1454439301000,794.0
1454439902000,717.0
1454440502000,597.0
1454440800000,1099.0
1454440800000,1099.0
1454442002000,889.0
1454442901000,621.0
1454443502000,605.0
1454444101000,572.0
1454444400000,582.0
1454445300000,526.0
1454445900000,538.0
1454446500000,443.0
1454446800000,503.0
1454447401000,711.0
1454448000000,881.0
1454448600000,543.0
1454449500000,919.0
1454450100000,526.0
1454450401000,588.0
1454450401000,588.0
1454450401000,588.0
1454452200000,1729.0
1454452800000,497.0
1454452800000,497.0
1454452800000,497.0
1454454600000,446.0
1454455500000,522.0
1454456100000,482.0
1454456100000,482.0
1454457300000,378.0
1454457600000,1091.0
1454457600000,1091.0
1454459100000,406.0
1454459700000,538.0
1454459700000,538.0
1454459700000,538.0
1454461500000,564.0
1454461500000,564.0
1454462400000,463.0
1454463000000,486.0
1454463000000,486.0
1454463000000,486.0
1454465400000,533.0
1454465400000,533.0
1454465400000,533.0
1454466600000,479.0
1454466600000,479.0
1454466600000,479.0
1454466600000,479.0
1454466600000,479.0
1454469900000,469.0
1454469900000,469.0
1454470800000,797.0
1454471700000,453.0
1454471700000,453.0
1454471700000,453.0
1454471700000,453.0
1454474400000,506.0
1454474400000,506.0
1454474400000,506.0
1454475600000,521.0
1454476200000,639.0
1454476200000,639.0
1454476200000,639.0
1454478300000,521.0
1454478600000,489.0
1454479500000,530.0
1454480100000,448.0
1454480700000,436.0
1454481300000,492.0
1454481900000,569.0
1454482500000,597.0
1454483100000,671.0
1454483400000,765.0
1454484000000,829.0
1454484901000,1004.0
1454485201000,823.0
1454486101000,988.0
1454486403000,1111.0
1454487002000,1067.0
1454487600000,1635.0
1454488201000,925.0
1454488201000,925.0
1454488201000,925.0
1454490002000,878.0
1454490903000,1647.0
1454491200000,747.0
1454492101000,732.0
1454492101000,732.0
1454493301000,916.0
1454493602000,1198.0
1454494502000,1206.0
1454495100000,765.0
1454495701000,1042.0
1454496001000,1072.0
1454496901000,1649.0
1454497201000,1262.0
1454498103000,1098.0
1454498700000,1091.0
1454499000000,700.0
1454499901000,1336.0
1454500201000,675.0
1454501103000,1567.0
1454501402000,1629.0
1454501402000,1629.0
1454502602000,1140.0
1454503201000,929.0
1454504101000,665.0
1454504701000,1284.0
1454505002000,1286.0
1454505600000,750.0
1454506501000,776.0
1454506501000,776.0
1454507701000,704.0
1454508301000,836.0
1454508301000,836.0
1454509500000,1109.0
1454509500000,1109.0
1454510701000,987.0
1454511301000,698.0
1454511901000,719.0
1454512201000,767.0
1454513100000,1204.0
1454513400000,847.0
1454513400000,847.0
1454514902000,850.0
1454515202000,754.0
1454516102000,772.0
1454516700000,889.0
1454517301000,1973.0
1454517903000,1135.0
1454518202000,1109.0
1454519102000,914.0
1454519702000,2056.0
1454520300000,1082.0
1454520601000,1041.0
1454520601000,1041.0
1454521801000,1097.0
1454522702000,973.0
1454523002000,1201.0
1454523901000,1467.0
1454524501000,1570.0
1454525101000,930.0
1454525701000,819.0
1454526302000,644.0
1454526902000,886.0
1454526902000,886.0
1454527800000,1529.0
1454528701000,1039.0
1454528701000,1039.0
1454529601000,590.0
1454530502000,504.0
1454531100000,689.0
1454531401000,630.0
1454531401000,630.0
1454531401000,630.0
1454533501000,513.0
1454534101000,508.0
1454534700000,578.0
1454534700000,578.0
1454535901000,450.0
1454536500000,635.0
1454536500000,635.0
1454537701000,503.0
1454537701000,503.0
1454538600000,479.0
1454539800000,512.0
1454539800000,512.0
1454541300000,455.0
1454541300000,455.0
1454541300000,455.0
