time,travel_time
1405451363000,74.0
1405451963000,71.0
1405452263000,157.0
1405453163000,63.0
1405453763000,79.0
1405454363000,221.0
1405454963000,63.0
1405455563000,73.0
1405456163000,58.0
1405456763000,45.0
1405457363000,57.0
1405457963000,256.0
1405458563000,43.0
1405459163000,48.0
1405459763000,58.0
1405460363000,46.0
1405460363000,46.0
1405461263000,51.0
1405462163000,39.0
1405462763000,77.0
1405463363000,35.0
1405463964000,339.0
1405463964000,339.0
1405465163000,240.0
1405465763000,51.0
1405466363000,25.0
1405466363000,25.0
1405466363000,25.0
1405468163000,36.0
1405468163000,36.0
1405468163000,36.0
1405468163000,36.0
1405470263000,25.0
1405470863000,95.0
1405471763000,35.0
1405471763000,35.0
1405471763000,35.0
1405471763000,35.0
1405471763000,35.0
1405471763000,35.0
1405476263000,45.0
1405476263000,45.0
1405476263000,45.0
1405476263000,45.0
1405476263000,45.0
1405476263000,45.0
1405481963000,71.0
1405481963000,71.0
1405481963000,71.0
1405483763000,40.0
1405484363000,430.0
1405484963000,70.0
1405485263000,39.0
1405486163000,44.0
1405486763000,50.0
1405487063000,45.0
1405487963000,60.0
1405488563000,71.0
1405489164000,152.0
1405489763000,108.0
1405490364000,248.0
1405490964000,215.0
1405491564000,140.0
1405492164000,192.0
1405492764000,220.0
1405493364000,130.0
1405493964000,131.0
1405494564000,214.0
1405495164000,205.0
1405495765000,139.0
1405496366000,148.0
1405496964000,136.0
1405497564000,157.0
1405498164000,205.0
1405498765000,230.0
1405499365000,133.0
1405499965000,129.0
1405500564000,196.0
1405501164000,265.0
1405501764000,141.0
1405502364000,106.0
1405502965000,87.0
1405503565000,133.0
1405504164000,149.0
1405504764000,122.0
1405505364000,106.0
1405505964000,136.0
1405506564000,89.0
1405506865000,75.0
1405507764000,95.0
1405508364000,108.0
1405508964000,171.0
1405509564000,88.0
1405510164000,156.0
1405510765000,110.0
1405511365000,125.0
1405511964000,161.0
1405512564000,119.0
1405513164000,138.0
1405513764000,143.0
1405514365000,161.0
1405514964000,135.0
1405515564000,126.0
1405516165000,198.0
1405516764000,157.0
1405517365000,90.0
1405517965000,163.0
1405518564000,152.0
1405519164000,118.0
1405519764000,123.0
1405520364000,120.0
1405520965000,124.0
1405521565000,83.0
1405522164000,103.0
1405522764000,141.0
1405523364000,130.0
1405523964000,146.0
1405524565000,136.0
1405525165000,146.0
1405525764000,105.0
1405526364000,75.0
1405526964000,47.0
1405527564000,185.0
1405528165000,105.0
1405528765000,117.0
1405529364000,158.0
1405529964000,83.0
1405530564000,87.0
1405531165000,48.0
1405531765000,89.0
1405532365000,101.0
1405532964000,89.0
1405533564000,92.0
1405534164000,67.0
1405534764000,86.0
1405535365000,61.0
1405535965000,100.0
1405536564000,80.0
1405537164000,56.0
1405537764000,94.0
1405538364000,56.0
1405538964000,97.0
1405539565000,78.0
1405539864000,63.0
1405540764000,138.0
1405541364000,61.0
1405541965000,34.0
1405542564000,37.0
1405543164000,35.0
1405543164000,35.0
1405544364000,77.0
1405544964000,51.0
1405545564000,57.0
1405546164000,59.0
1405546764000,34.0
1405547364000,23.0
1405547964000,54.0
1405548264000,56.0
1405549164000,48.0
1405549764000,25.0
1405549764000,25.0
1405550664000,49.0
1405551264000,77.0
1405552164000,43.0
1405552764000,39.0
1405553364000,37.0
1405553964000,80.0
1405554565000,35.0
1405554864000,33.0
1405555464000,35.0
1405555464000,35.0
1405555464000,35.0
1405555464000,35.0
1405555464000,35.0
1405558764000,62.0
1405559364000,64.0
1405559364000,64.0
1405559364000,64.0
1405559364000,64.0
